Name,Date,Season,Phase,Position,Team,Birthyear,Weight,Size,10m Off,20m Off,30m Off,5_10_5,10m Off_index,20m Off_index,30m Off_index,5_10_5_index,Speed_index,10m Off_index_distance,20m Off_index_distance,30m Off_index_distance,5_10_5_index_distance,speed_index_distance,CMJ W/kg,SJ W/kg,SL CMJ L,SL CMJ R,CMJ W/kg_index,SJ W/kg_index,SL CMJ L_index,SL CMJ R_index,power_index,CMJ W/kg_index_distance,SJ W/kg_index_distance,SL CMJ L_index_distance,SL CMJ R_index_distance,power_index_distance,WG Ppeak,WG Ppeak W/kg,3min MMP,3min W/kg,WG Pavg W/kg,WG Ppeak_index,WG Ppeak W/kg_index,3min MMP_index,3min W/kg_index,WG Pavg W/kg_index,Endurance_index,WG Ppeak_index_distance,WG Ppeak W/kg_index_distance,3min MMP_index_distance,3min W/kg_index_distance,WG Pavg W/kg_index_distance,endurance_index_distance,IMTP,IMTP_index,IMTP_index_distance,AD Mx F 60 L,AD Mx F 60 R,AB Mx F 60 L,AB Mx F 60 R,AD Mx F 60 L_index,AD Mx F 60 R_index,AB Mx F 60 L_index,AB Mx F 60 R_index,Hip_index,AD Mx F 60 L_index_distance,AD Mx F 60 R_index_distance,AB Mx F 60 L_index_distance,AB Mx F 60 R_index_distance,hip_index_distance,SH Int L,SH Int R,SH Ext L,SH Ext R,SH Int L_index,SH Int R_index,SH Ext L_index,SH Ext R_index,Shoulder_index,SH Int L_index_distance,SH Int R_index_distance,SH Ext L_index_distance,SH Ext R_index_distance,shoulder_index_distance,Improvement_Recommendation,Best_Skill,Improvement_Recommendation_Category,Best_Skill_Category,assignedLine
A AF,2023-04-24,23/24,Pre-Season,W,NL,1992,85.0,181.0,1.84,3.11,,4.52,50.0,60.0,,66.0,59.0,-2.0,-4.0,0.0,5.0,0.0,54.7,,,,35.0,,,,35.0,-5.0,0.0,0.0,0.0,0.0,1107.0,13.0,316.0,3.72,,20.0,32.0,8.0,8.0,,17.0,-25.200000000000003,-28.0,-35.0,-42.0,0.0,-29.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3min W/kg,5_10_5,endurance,power,Line 1
A AF,2023-07-31,23/24,Pre-Season,W,NL,1992,87.5,182.5,1.81,3.07,,4.47,57.0,68.0,,73.0,66.0,0.4000000000000057,4.0,0.0,12.0,5.0,58.9,62.0,,,48.0,51.0,,,50.0,3.200000000000003,14.0,0.0,0.0,8.0,1345.0,15.3714285714286,359.0,4.1,,42.0,60.0,26.0,24.0,,38.0,-3.200000000000003,0.0,-17.0,-26.0,0.0,-8.0,,,0.0,517.0,558.0,400.625,406.75,62.0,70.0,20.0,26.0,44.0,1.0,8.0,-24.0,-19.5,-9.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3min W/kg,SJ W/kg,hip,power,Line 1
A AF,2024-04-22,24/25,Pre-Season,W,NL,1992,86.0,182.2,1.92,,4.41,4.45,30.0,,43.0,76.0,50.0,-22.0,0.0,-19.0,15.0,-7.0,58.6,59.1,36.7,36.3,47.0,43.0,44.0,40.0,44.0,2.200000000000003,6.0,8.0,7.0,2.0,1269.0,,351.0,4.08,9.32,35.0,,23.0,23.0,34.0,29.0,-10.200000000000005,0.0,-20.0,-27.0,-12.0,-17.0,2754.0,23.0,-12.0,501.0,551.0,362.0,339.0,59.0,69.0,9.0,8.0,36.0,-2.0,7.0,-35.0,-37.5,-17.5,160.0,190.0,165.0,177.0,17.0,44.0,38.0,50.0,37.0,-11.0,2.0,-11.0,-7.0,-7.0,AB Mx F 60 R,5_10_5,hip,power,Line 1
A AF,2024-06-24,24/25,Pre-Season,W,NL,1992,87.5,182.2,1.84,,4.34,4.46,50.0,,51.0,74.0,58.0,-2.0,0.0,-11.0,13.0,0.0,59.7,58.7,36.2,35.5,50.0,42.0,41.0,36.0,42.0,5.200000000000003,5.0,5.0,3.0,0.0,1376.0,,,,8.69,45.0,,,,19.0,32.0,-0.2000000000000028,0.0,0.0,0.0,-27.0,-14.0,3040.0,38.0,3.0,512.0,531.0,370.0,366.0,61.0,65.0,11.0,15.0,38.0,0.0,3.0,-33.0,-30.5,-15.5,198.0,233.0,166.0,177.0,33.0,60.0,39.0,50.0,46.0,5.0,18.0,-10.0,-7.0,2.0,AB Mx F 60 L,SH Int R,hip,IMTP,Line 1
A AF,2024-08-07,24/25,Pre-Season,W,NL,1992,91.0,182.0,1.8,,4.25,4.56,60.0,,62.0,61.0,61.0,3.4000000000000057,0.0,0.0,0.0,0.0,57.1,56.5,34.6,35.0,42.0,36.0,34.0,34.0,36.0,0.0,-1.0,-2.0,1.0,0.0,1419.0,,370.0,4.15,8.87,49.0,,31.0,26.0,24.0,32.0,0.0,0.0,-12.0,-24.0,-22.0,-14.0,3202.0,47.0,12.0,544.0,548.0,389.0,372.0,68.0,68.0,17.0,17.0,42.0,7.0,6.0,-27.0,-28.5,-11.5,230.0,216.0,169.0,194.0,46.0,54.0,40.0,57.0,49.0,18.0,12.0,-9.0,0.0,5.0,AB Mx F 60 R,SH Int L,endurance,IMTP,Line 1
AA BF,2023-07-31,23/24,Pre-Season,W,NL,1995,102.2,179.0,1.79,2.96,,4.44,62.0,92.0,,77.0,77.0,5.400000000000006,28.0,0.0,16.0,16.0,57.8,58.7,,,44.0,42.0,,,43.0,0.0,5.0,0.0,0.0,1.0,1605.0,15.7045009784736,415.0,4.06,,66.0,64.0,49.0,22.0,,50.0,16.200000000000003,4.0,6.0,-28.0,0.0,0.0,,,0.0,500.0,499.0,542.0,537.0,58.0,58.0,59.0,59.0,58.0,-3.0,-4.0,15.0,13.5,4.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3min W/kg,20m Off,endurance,speed,Line 1
AA BF,2024-08-07,24/25,Pre-Season,W,NL,1995,100.0,179.0,1.72,,4.01,4.69,79.0,,89.0,43.0,70.0,22.40000000000001,0.0,27.0,-18.0,9.0,56.7,58.3,37.7,38.6,41.0,41.0,48.0,51.0,45.0,0.0,4.0,12.0,18.0,3.0,1881.0,,439.0,4.43,9.93,92.0,,59.0,38.0,48.0,59.0,42.2,0.0,16.0,-12.0,2.0,9.0,2739.0,22.0,-13.0,435.0,437.0,527.0,527.0,44.0,44.0,55.0,57.0,50.0,-17.0,-18.0,11.0,11.5,-3.5,249.0,246.0,266.0,274.0,54.0,65.0,92.0,90.0,75.0,26.0,23.0,43.0,33.0,31.0,5_10_5,SH Ext L,IMTP,shoulder,Line 1
AB BG,2023-04-24,23/24,Pre-Season,W,NL,1997,85.1,178.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10m Off,10m Off,power,power,Line 1
AB BG,2023-07-31,23/24,Pre-Season,W,NL,1997,84.4,178.5,1.78,3.02,,,65.0,79.0,,,72.0,8.400000000000006,15.0,0.0,0.0,11.0,67.3,66.1,,,73.0,63.0,,,68.0,28.200000000000003,26.0,0.0,0.0,26.0,1443.0,17.0971563981043,,,,51.0,80.0,,,,66.0,1.2000000000000028,20.0,0.0,0.0,0.0,16.0,,,0.0,398.0,421.0,487.25,437.25,36.0,41.0,44.0,34.0,39.0,-25.0,-21.0,0.0,-11.5,-14.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,AD Mx F 60 L,CMJ W/kg,hip,power,Line 1
AB BG,2024-04-22,24/25,Pre-Season,W,NL,1997,83.7,179.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,71.4,70.8,45.2,45.9,85.0,76.0,84.0,88.0,83.0,40.2,39.0,48.0,55.0,41.0,1599.0,,394.0,4.75,10.45,65.0,,41.0,51.0,60.0,54.0,15.200000000000005,0.0,-2.0,1.0,14.0,4.0,2976.0,35.0,0.0,550.0,571.0,488.0,495.0,70.0,73.0,44.0,49.0,59.0,9.0,11.0,0.0,3.5,5.5,226.0,184.0,165.0,173.0,44.0,41.0,38.0,48.0,43.0,16.0,-1.0,-11.0,-9.0,-1.0,SH Ext L,SL CMJ R,shoulder,power,Line 1
